id,endTime,ticket,startedAt,numberOfBets,payout,serverSeed,hash_result,difference
e20c3acc-dbe4-404f-a843-79d31c8f9146,1726557021600,113,1726557019563,1,0,2210c94281e76319718953ac19ac23f36050534821e2a709054f7949a1bb5b42,251,-138
0b5b6970-c31e-44a5-8c71-979885efed37,1726557012493,446,1726556987573,1,6574,4a3d32a60d3c563f41a6d61146e27b3fb740d7ba28ed3aa5e31c2815d2f599ef,314,132
4ba103e3-dd50-475d-a890-da8eea2709c1,1726556980362,5861,1726556912513,1,5313,fe78b8875eca3d6e5c68acbc76953ea0a676e9cf08ce046993b49e339fe33e3f,597,5264
51f36e5b-9a85-4a5f-866d-5432982a028a,1726556905423,100,1726556905423,1,0,a7f260c95737b8febf8ff08798b5707e671f5f7f23e28e81e883af66e9a3d1a8,402,-302
4cd4d2a3-e577-4335-af3c-4ad1fc770a4d,1726556898189,133,1726556893436,1,0,4f86985b7ba2c22cddeb82ccd9b7745fce9f046fc309d65ea70c7909925c3c73,222,-89
35f90827-b380-4627-998d-2dbb938d5e06,1726556886243,310,1726556867386,2,227,d5ee4e9ac5314e4e502006e2d70c2497d0ce16e79e10888c53a1ac3e36d1a755,188,122
d7fcc4e2-40ae-43d6-b687-8036abfc304b,1726556860321,378,1726556838158,1,0,ba0a0a0b9ad5d9c46759358fe7e105db396fc8b6c57534f4defd33098ff70795,165,213
96f7d32a-c975-4929-9292-ef3a5d674814,1726556831006,146,1726556824698,1,0,069b2c82f75b10901c91fdee6511cbee6d197b53bfbebb2bb4c8c05be3e3012b,107,39
f736c128-c74c-4f8c-81cd-3069ef383aa0,1726556817448,153,1726556810360,1,0,80387d803000aa06364e9425df46cee556bdee49db0680ee6d685ee6ad3076d4,125,28
ef3ec7d7-f238-42b4-b972-e8eec9f13786,1726556803267,136,1726556798142,1,0,58277a20551c5697d9f5216709e0ddb9239119fbf293c15fec6fee3ae4173aaa,101,35
4c6c3be4-7e78-4896-b8a9-1a9d0417620e,1726556791064,101,1726556790898,1,0,2432827146c11af2672b7e4992e98e9d926f4bfab26c71d15fa0348fa3952814,150,-49
df09deb3-7458-4ad9-b400-112385381f1f,1726556783847,15640,1726556699640,2,10773,44ccdacf141ec6bec723bf8384f2858f72a84a45edb8d28c47220db79f95ddbe,109,15531
9fb9bb65-19e1-4994-a931-979748336bea,1726556692389,123,1726556688938,0,0,572c950219b6909ddb5054e6049cc1b5e9439fac9755bd5b49330eeae3b4a548,230,-107
8bedc668-20ac-4e3d-9ebd-0fee9b4646ad,1726556681781,122,1726556678466,2,0,97076923c18b5d486d7ae5d69d7f84d2956e9aebcc070be3d07cf8a72340a2e9,201,-79
7b074481-e958-412c-93f2-a741020b080d,1726556671201,1829,1726556622761,2,6066,2c78ad31dec79c0ae5f855beea198e462b91e893e1490473d1ecabdcae612df1,620,1209
19e629f9-4970-44a9-8965-13962f6d73f9,1726556615472,174,1726556606240,2,0,c0b517a03cb1164e7770e563e708f7648173893395c09356af9778ecd7b955eb,151,23
452f64d8-a584-4f62-a4b5-605e3e1abe68,1726556598946,123,1726556595495,2,0,c3613312bcab4f117daeaa3d62de4465c0581b85866b09ca9c84e07dc7a1911e,310,-187
9b836870-51bc-42fa-9c21-ab16854e2c4f,1726556588388,149,1726556581741,2,0,a4bc24e5bea3fc16a7ad62399eb6a6e406f7c66880bf7bb17873d7aaf308a2d0,297,-148
3574f358-b2ad-4db9-ac98-95a13b7a19c5,1726556574627,239,1726556560105,2,0,9984835b8612c3b59f50177da23171fde0ab2278e43ccbe2f1f365e01081fc96,1,238
89cd7fd2-3b34-4111-8462-5fa067ccdfbe,1726556552859,159,1726556545130,2,0,54d78d8931a71530be70a224e2ce77e8baedc1ca42d42297518b1424a6c59015,1,158
cc48c251-c1db-48bb-91a7-f534a93a78bf,1726556538062,499,1726556511271,2,3520,86f2432b81fc0cf0c97637b003ac99bcc9fafb9d27c47130f57763124aab44ce,127,372
1edb930a-5bb2-4a89-bda3-7f23771094ea,1726556503863,116,1726556501389,1,0,5f23c14190a025028a89fe48b6a474ac12eec7c8dc0ebdb4d760a4ea1a364d8c,1,115
a4da45ea-864d-45b0-b182-ff52704be1f1,1726556494300,100,1726556494300,3,0,cdf3110dd604abd3730a0690bfa1b3fa19a4b36fd4c6bbcf8097fc95eec725b7,126,-26
67314130-1ba0-4d9f-9c02-eefd07e9bb84,1726556487122,495,1726556460465,1,4257,4125861d8d05d378c0ba8eba3887488d1c831d56053befafb5158df636843f5e,336,159
c115dda6-ca65-4302-8a17-1d5d932176cb,1726556453260,195,1726556442129,2,0,dc3f3debfa299b35b0d86fb9272a88978ef62de7ad6e5784f1fbe744c6f4c5bf,136,59
48db59c7-8a1b-4e91-a86f-f067be20ca23,1726556434812,3655,1726556374833,1,4710,01fbc9b7bf8ffd43b07dff99627444d432810ee00b49444cf4ef6bb6b887dd08,400,3255
0c934759-9e9f-4e82-b728-f7113799f649,1726556367676,109,1726556366239,2,0,0ba8c643d28d6c3c0e58377ff39e8570381f64c4931d3740c5012be64007e519,186,-77
544198d8-7ee2-4030-8f93-43eb63417699,1726556359102,124,1726556355516,1,0,396384ed4df3825b3202d6c62b1f44d6cffe1da0ab9602564281aec3f0676eec,139,-15
5352219d-99e0-42b7-9334-7c572dfc7f44,1726556348436,122,1726556345121,1,0,9c8aac36f516cdae960d0efdad303723723b2d6d3adc7eaa3f2b350ed4047d13,298,-176
202b4374-2396-41f1-8235-786d77cc03fc,1726556337925,285,1726556320469,0,0,dc4a1ecfd23a0550b6a6c8efb017c8fa73d3caf5f77c0e5e834fc3b3bdb48f38,421,-136
6742c1cb-c808-41a8-bc27-6c6a9681db89,1726556313416,100,1726556313416,0,0,8ddb779a68353d01de9d8c960f06ed9acedfd2923fc860ef91d211f2eb2804f3,104,-4
8ed4aa51-e530-472d-8cad-11fc155346e9,1726556306358,100,1726556306358,1,0,08d3420457fbaab666cbe6cca245e88e7c6b6625fb863b04014e3f5765f04daa,918,-818
8a0a663c-c726-4ece-8935-a5cd1dcf8e57,1726556299167,151,1726556292298,1,0,ae8662c999afd9e450666a411b905c3a98c1c83458c0e3c32513e27f2a870218,113,38
5d54f504-bb6b-42bd-9ed3-6e9ded4a9812,1726556285192,122,1726556281877,1,0,bb9d5f473e763567448b552b4b1ae0709fac3c0f1e27f4959613e6ee93b81cbf,424,-302
8339775d-b52f-4722-8d57-9b4e676d6d06,1726556274531,259,1726556258670,2,4040,76455cc0c4d3817cb9668170ad88e01812e4743bde53a250b57b7cc8a926ad76,150,109
